,Tweets,id,lens,date,place,coordinateS,lang,source,likes,retweets
16,b'In a worst situation:\n#hunger - weaponized\n#rape - weaponized\n#disease - weaponized\n#looting - weaponized\n#burning - weaponized\n#torture  - weaponized\nmassacring civilian - weaponized\n#ActNow z last action.\n#WithdrawEritreanTroops\n@USAmbUN \n@antonioguterres \n@SecBlinken \n@eu_eeas',1.39077E+18,280,07-05-2021 20:51,,,en,Twitter Web App,0,0
17,"b'The\xc2\xa0#rape\xc2\xa0victim,\xc2\xa0#Mona_Lisa\xc2\xa0lay on a hospital bed in Mekelle, the main city in war-torn #Tigray, her body\xc2\xa0#devastated\xc2\xa0but her defiance on display.\xc2\xa0 #TigrayWarRapeVictims #WeaponizedRape\xc2\xa0@UN @UN_Women\xc2\xa0@HouseForeign @Haavisto\xc2\xa0@EUCouncil @USAmbUN https://t.co/rOobYfLP2r'",1.39077E+18,268,07-05-2021 20:46,,,en,Twitter for Android,0,0
18,b'RT @ThePeoplesHubUK: @GoogleExpertUK @do_kinder @BullyingAlberta @DelusionalAcad1 @rossthomson26 @TruthsayerOdet1 @Suzanne_Garrett @MoriMah\xe2\x80\xa6',1.39077E+18,140,07-05-2021 20:38,,,en,Twitter for iPhone,0,19
19,"b'#Rape\xc2\xa0is being used as a weapon as fighting rages in remote parts of\xc2\xa0#Tigray\xc2\xa0region. \xe2\x80\x9cEven if we had shouted,\xe2\x80\x9d\xc2\xa0one woman said, \xe2\x80\x9cthere was no one to listen.\xe2\x80\x9d\xc2\xa0#TigrayWarRapeVictims #WeaponizedRape\xc2\xa0@UN_Women @HouseForeign\xc2\xa0@Haavisto @EUCouncil\xc2\xa0@USAmbUN\xc2\xa0@hrw\xc2\xa0https://t.co/rOobYfLP2r'",1.39077E+18,277,07-05-2021 20:38,,,en,Twitter for Android,0,0
20,b'RT @ThePeoplesHubUK: @GoogleExpertUK @do_kinder @BullyingAlberta @DelusionalAcad1 @rossthomson26 @TruthsayerOdet1 @Suzanne_Garrett @MoriMah\xe2\x80\xa6',1.39077E+18,140,07-05-2021 20:38,,,en,Twitter Web App,0,19
21,"b'RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho\xe2\x80\xa6'",1.39076E+18,140,07-05-2021 20:14,,,en,Twitter Web App,0,10365
22,"b'RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho\xe2\x80\xa6'",1.39076E+18,140,07-05-2021 20:05,,,en,Twitter for Android,0,10365
23,b'RT @GoogleExpertUK: @DaveRush2011 @LittleJanhere @Line_of_duty for real Dave! \n #LineOfDuty #Dundee \xf0\x9f\x9a\x94 #AC12 \n\n@martin_compston @Vicky_McClu\xe2\x80\xa6',1.39076E+18,140,07-05-2021 20:04,,,en,Twitter Web App,0,7
24,b'RT @KaurAbuseNWork: Victims of sexual assault have been coming forward to us in a relation to a Gurdwara in Derby. This case ranks as one o\xe2\x80\xa6',1.39076E+18,140,07-05-2021 20:00,,,en,Twitter for iPhone,0,67
25,b'RT @Rosenchild: @washingtonpost \xf0\x9f\x9a\xa8 The #Republican party / #GOP has become filled with:\n\n#Racism\n#Prejudice\n#Stereotyping\n#Hate Crimes / #Wr\xe2\x80\xa6',1.39076E+18,140,07-05-2021 19:57,,,en,Twitter Web App,0,1
26,b'@washingtonpost \xf0\x9f\x9a\xa8 The #Republican party / #GOP has become filled with:\n\n#Racism\n#Prejudice\n#Stereotyping\n#Hate Crimes / #Wrath\n#Fraud / White Collar Crime\n#Greed\n#Lust\n#Envy\n#Gluttony\n#Sloth\n#Xenophobia\n#Homophobia\n#Sexism\n#Rape\n#Molestation\n#Propaganda\n#Pseudoscience\n#Conspiracy Theories https://t.co/XfuSJ9PmtN',1.39076E+18,313,07-05-2021 19:57,,,en,Twitter Web App,2,1
27,"b""Y'all can't just erase what y'all did to our ancestors and us. Deal with your b.s! #America_Exposed #SystemicRacism #lynching #racism #culturalappropriation #pillaging #genocide #alienation #gentrificacion #murder #Kidnapping #rape #torture #theft the list goes on""",1.39076E+18,264,07-05-2021 19:56,"Place(_api=<tweepy.api.API object at 0x7fd4c3f65910>, id='a592bd6ceb1319f7', url='https://api.twitter.com/1.1/geo/id/a592bd6ceb1319f7.json', place_type='city', name='San Diego', full_name='San Diego, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fd4c3f65910>, type='Polygon', coordinates=[[[-117.282538, 32.53962], [-116.9274403, 32.53962], [-116.9274403, 33.0804044], [-117.282538, 33.0804044]]]), attributes={})",,en,Twitter for iPhone,0,0
28,"b'RT @hyrbyair_marri: If the so-called civilised world and the #UN had taken serious notice of the incident in #Dhaka on 21st Feb 1952, then\xe2\x80\xa6'",1.39076E+18,139,07-05-2021 19:56,,,en,Twitter for Android,0,143
29,"b'RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho\xe2\x80\xa6'",1.39076E+18,140,07-05-2021 19:50,,,en,Twitter Web App,0,10365
30,"b'RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho\xe2\x80\xa6'",1.39075E+18,140,07-05-2021 19:44,,,en,Twitter for Android,0,10365
31,b'RT @KaurAbuseNWork: Victims of sexual assault have been coming forward to us in a relation to a Gurdwara in Derby. This case ranks as one o\xe2\x80\xa6',1.39075E+18,140,07-05-2021 19:36,,,en,Twitter for iPhone,0,67
32,"b'Do you need help dealing with #SexualAssault, #Rape, or incest? Call @RAINN\xe2\x80\x99s Hotline 800.656.HOPE (4673) to talk to a trained staff member from a sexual assault service provider in your area. \n\nDon\xe2\x80\x99t feel comfortable talking? Use Chat/text  instead: https://t.co/5fqofFp4kh https://t.co/Ci10KzrSG1'",1.39075E+18,298,07-05-2021 19:30,,,en,Hootsuite Inc.,3,0
33,"b""RT @AmandaGreenUK: 200+ reviews on Amazon &amp; Goodreads **** Life could definitely be worse. Life could definitely be better. Here's my story\xe2\x80\xa6""",1.39075E+18,144,07-05-2021 19:27,,,en,Twitter Web App,0,20
34,b'RT @KaurAbuseNWork: Victims of sexual assault have been coming forward to us in a relation to a Gurdwara in Derby. This case ranks as one o\xe2\x80\xa6',1.39075E+18,140,07-05-2021 19:20,,,en,Twitter for iPhone,0,67
35,"b'RT @BombshellDAILY: REPUBLICAN BRUTALLY RAPES HIS INTERN\nIdaho Lawmaker Von Ehlinger raped his office intern, &amp; then released her name, unl\xe2\x80\xa6'",1.39074E+18,144,07-05-2021 18:56,,,en,Twitter for Android,0,192
36,"b'RT @MartinRJay: My latest investigation - \n\nRevealed: #UK Government in the spotlight over #UN sex crimes, #Whistleblower warns of \xe2\x80\x9crape cu\xe2\x80\xa6'",1.39074E+18,140,07-05-2021 18:56,,,en,Twitter Web App,0,22
37,b'RT @berkey_vicky: @BombshellDAILY So how can a person who commits a felony go to court and say yeah but ..? WTF? #rape #Texas',1.39074E+18,125,07-05-2021 18:55,,,en,Twitter for iPhone,0,2
38,b'RT @KaurAbuseNWork: Victims of sexual assault have been coming forward to us in a relation to a Gurdwara in Derby. This case ranks as one o\xe2\x80\xa6',1.39074E+18,140,07-05-2021 18:49,,,en,Twitter for iPhone,0,67
